Start Time, Stop Time, Src IP, Src Country, Src Port, Dst IP, Dst Country, Dst Port, Packets, Data bytes, Bytes, Arkime Node, URI, Sender, Receiver, Subject, Filenames, Host, Alt Name, Channel
1691735813155,1691735813155,10.10.118.208,,5233,10.10.4.22,,445,2,0,122,hanlab,,,,,,,,
1691735599722,1691735813166,10.10.138.248,,60776,10.10.4.30,,8888,1024,0,378174,hanlab,,,,,,,,
1691735765584,1691735813167,10.10.128.73,,55750,142.250.206.194,US,443,30,7388,10086,hanlab,,,,,,,,
1691735603120,1691735813167,10.10.140.114,,64715,14.56.119.29,KR,24211,44,0,2750,hanlab,,,,,,,,
1691735633190,1691735813168,10.10.123.42,,59980,23.50.121.146,US,443,71,0,40422,hanlab,,,,,,,,
1691735759924,1691735813169,10.10.128.73,,55732,142.250.76.141,US,443,79,23433,27915,hanlab,,,,,,,,
1691735813168,1691735813172,10.10.125.231,,58610,10.10.1.77,,13000,13,2477,3239,hanlab,,,,,,,,
1691735812189,1691735813189,10.10.127.11,,60307,239.255.255.250,,1900,2,350,434,hanlab,,,,,,,,
1691735597016,1691735813197,10.10.128.21,,1554,10.10.4.30,,8888,287,0,55600,hanlab,,,,,,,,
1691735811401,1691735813199,10.10.159.215,,64493,10.10.1.240,,7002,21,9148,10342,hanlab,,,,,,,,
1691735812703,1691735813202,10.10.118.208,,5237,10.10.4.26,,445,3,0,188,hanlab,,,,,,,,
1691735813199,1691735813205,10.10.128.17,,62882,10.10.128.16,,445,6,108,576,hanlab,,,,,,,,
1691735813233,1691735813233,10.10.118.208,,5238,10.10.4.27,,445,2,0,122,hanlab,,,,,,,,
1691735648115,1691735813233,10.12.12.10,,40026,10.10.162.11,,3260,16,0,1296,hanlab,,,,,,,,
1691735813234,1691735813234,10.11.30.51,,51506,10.10.1.240,,7003,1,0,1514,hanlab,,,,,,,,
1691735813234,1691735813234,10.10.35.66,,60711,10.10.1.110,,111,1,0,1514,hanlab,,,,,,,,
1691735596039,1691735813245,10.10.1.17,,54535,10.10.1.45,,1521,6159,0,580392,hanlab,,,,,,,,
1691735811355,1691735813258,10.10.159.215,,64492,10.10.1.240,,7001,66,29141,32831,hanlab,,,,,,,,
1691735794232,1691735813263,10.10.125.231,,58594,188.172.203.62,SG,443,11,9,684,hanlab,,,,,,,,
1691735813264,1691735813264,10.10.118.208,,5239,10.10.4.28,,445,2,0,122,hanlab,,,,,,,,
1691735782411,1691735813267,10.10.128.132,,13723,34.194.81.123,US,443,33,8607,10491,hanlab,,,,,,,"dt.adsafeprotected.com, dtvc.adsafeprotected.com",
1691735813253,1691735813268,10.16.10.65,,60070,10.10.4.154,,3389,2,36,120,hanlab,,,,,,,,
1691735800016,1691735813275,10.10.118.208,,5210,10.10.118.209,,445,11,1419,2055,hanlab,,,,,,,,
1691735813283,1691735813283,10.10.118.208,,5242,10.10.4.31,,445,2,0,122,hanlab,,,,,,,,
1691735813283,1691735813283,10.12.12.193,,50375,10.10.4.115,,445,1,0,66,hanlab,,,,,,,,
1691735813283,1691735813283,10.10.118.208,,5241,10.10.4.30,,445,2,0,122,hanlab,,,,,,,,
1691735777858,1691735813287,10.10.128.73,,55801,142.250.206.243,US,443,61,16080,19554,hanlab,,,,,,,,
1691735692994,1691735813292,10.15.10.116,,7680,10.10.40.191,,55702,6,0,360,hanlab,,,,,,,,
1691735813304,1691735813309,10.10.162.111,,49387,10.10.1.240,,7002,9,1016,1544,hanlab,,,,,,,,
1691735813318,1691735813318,10.30.70.167,,57730,10.10.1.200,,21,1,0,60,hanlab,,,,,,,,
1691735813320,1691735813320,10.30.70.167,,57753,10.10.1.200,,38062,1,0,66,hanlab,,,,,,,,
1691735813197,1691735813329,10.10.162.111,,49386,10.10.4.30,,8888,8,1752,2214,hanlab,,,,,,,,
1691735778512,1691735813338,10.10.128.73,,55819,121.53.105.159,KR,443,29,8715,10518,hanlab,,,,,,,"ad.daum.net, *.daumdn.com, *.ad.daum.net, *.ds.kakao.com",
1691735813340,1691735813340,10.16.10.100,,59657,10.10.1.165,,3389,1,18,60,hanlab,,,,,,,,
1691735811335,1691735813344,10.10.126.221,,63143,239.255.255.250,,1900,3,525,651,hanlab,,,,,,,,
1691735813310,1691735813349,10.10.162.111,,49388,10.10.1.240,,7001,25,9966,11388,hanlab,,,,,,,,
1691735813356,1691735813356,10.16.10.100,,59651,10.10.4.185,,3389,1,115,157,hanlab,,,,,,,,
1691735777921,1691735813364,10.10.128.73,,55803,142.250.207.98,US,443,61,12948,16478,hanlab,,,,,,,,
1691735813356,1691735813374,10.11.60.199,,55350,10.10.1.236,,5000,2,0,184,hanlab,,,,,,,,
1691735598382,1691735813376,10.10.127.107,,4500,211.218.45.44,KR,4500,1107,186320,232814,hanlab,,,,,,,,
1691735813385,1691735813387,10.10.125.190,,53211,10.10.176.146,,7680,8,75,561,hanlab,,,,,,,,
1691735630276,1691735813395,10.10.236.112,,63054,23.74.140.92,US,443,23,0,8181,hanlab,,,,,,,,
1691735811383,1691735813400,10.10.120.97,,61786,239.255.255.250,,1900,3,525,651,hanlab,,,,,,,,
1691735811415,1691735813416,10.10.126.231,,58443,239.255.255.250,,1900,3,528,654,hanlab,,,,,,,,
1691735812412,1691735813417,10.10.126.108,,54805,239.255.255.250,,1900,2,350,434,hanlab,,,,,,,,
1691735813423,1691735813423,10.10.118.208,,5251,10.10.4.40,,445,2,0,122,hanlab,,,,,,,,
1691735778653,1691735813431,10.10.128.73,,55823,52.79.216.237,KR,443,30,8651,10361,hanlab,,,,,,,"adpies.com, adp.adpies.com, ssp.adpies.com, rsc.adpies.com, mat.adpies.com",
1691735813050,1691735813433,10.10.128.73,,55877,104.22.52.252,US,443,108,90619,96691,hanlab,,,,,,,,
